time,f(t),IIR_CFE,Grunwald,exponential,recursive,shiftAvg1,shiftAvg9,shiftAvg5,shiftAvg3,shiftAvg8
1.5900,-0.0192,1.9488,1.8899,1.7330,1.8928,1.9013,1.9884,2.0735,1.9329,1.9482
1.6000,0.0597,2.0672,2.0467,1.8948,2.0322,2.0407,2.1586,2.2533,2.1104,2.1205
1.6100,0.1382,2.2430,2.1906,2.0444,2.1678,2.1675,2.3153,2.4189,2.2746,2.2795
1.6200,0.2159,2.3346,2.3208,2.1808,2.2811,2.2807,2.4574,2.5693,2.4244,2.4240
1.6300,0.2922,2.4814,2.4364,2.3031,2.3893,2.3797,2.5840,2.7035,2.5589,2.5533
1.6400,0.3666,2.5430,2.5367,2.4107,2.4736,2.4640,2.6944,2.8207,2.6772,2.6665
1.6500,0.4388,2.6582,2.6212,2.5028,2.5509,2.5329,2.7879,2.9202,2.7787,2.7629
1.6600,0.5083,2.6874,2.6892,2.5789,2.6041,2.5860,2.8639,3.0014,2.8626,2.8419
1.6700,0.5746,2.7689,2.7404,2.6385,2.6497,2.6231,2.9219,3.0637,2.9285,2.9030
1.6800,0.6373,2.7642,2.7744,2.6812,2.6704,2.6438,2.9616,3.1069,2.9760,2.9459
1.6900,0.6961,2.8108,2.7911,2.7069,2.6819,2.6480,2.9827,3.1305,3.0047,2.9702
1.7000,0.7505,2.7714,2.7903,2.7152,2.6696,2.6358,2.9850,3.1345,3.0146,2.9759
1.7100,0.8003,2.7829,2.7720,2.7062,2.6481,2.6072,2.9687,3.1189,3.0055,2.9628
1.7200,0.8451,2.7089,2.7363,2.6800,2.6033,2.5623,2.9338,3.0837,2.9774,2.9312
1.7300,0.8846,2.6858,2.6836,2.6367,2.5477,2.5015,2.8805,3.0291,2.9307,2.8811
1.7400,0.9186,2.5783,2.6140,2.5766,2.4713,2.4251,2.8092,2.9556,2.8655,2.8129
1.7500,0.9469,2.5220,2.5281,2.5000,2.3848,2.3337,2.7202,2.8635,2.7822,2.7270
1.7600,0.9693,2.3827,2.4263,2.4074,2.2788,2.2277,2.6142,2.7534,2.6815,2.6240
1.7700,0.9857,2.2956,2.3094,2.2995,2.1617,2.1078,2.4917,2.6261,2.5639,2.5045
1.7800,0.9959,2.1272,2.1779,2.1769,2.0287,1.9748,2.3536,2.4822,2.4301,2.3692
1.7900,0.9999,2.0121,2.0328,2.0403,1.8857,1.8296,2.2007,2.3228,2.2810,2.2190
1.8000,0.9977,1.8179,1.8750,1.8907,1.7291,1.6729,2.0340,2.1488,2.1176,2.0548
1.8100,0.9893,1.6786,1.7054,1.7289,1.5620,1.5058,1.8545,1.9612,1.9407,1.8777
1.8200,0.9748,1.4627,1.5251,1.5560,1.3856,1.3294,1.6634,1.7613,1.7517,1.6887
1.8300,0.9542,1.3035,1.3353,1.3730,1.2002,1.1447,1.4617,1.5504,1.5515,1.4890
1.8400,0.9276,1.0704,1.1370,1.1811,1.0084,0.9529,1.2509,1.3296,1.3415,1.2799
1.8500,0.8953,0.8960,0.9316,0.9815,0.8079,0.7551,1.0321,1.1004,1.1229,1.0627
1.8600,0.8574,0.6507,0.7202,0.7754,0.6054,0.5526,0.8068,0.8642,0.8972,0.8387
1.8700,0.8141,0.4664,0.5043,0.5641,0.3961,0.3467,0.5763,0.6225,0.6658,0.6093
1.8800,0.7658,0.2141,0.2852,0.3490,0.1880,0.1386,0.3421,0.3769,0.4300,0.3760
1.8900,0.7127,0.0251,0.0642,0.1313,-0.0261,-0.0703,0.1057,0.1287,0.1913,0.1402
1.9000,0.6552,-0.2286,-0.1573,-0.0875,-0.2346,-0.2788,-0.1315,-0.1204,-0.0487,-0.0967
1.9100,0.5936,-0.4166,-0.3778,-0.3061,-0.4472,-0.4855,-0.3680,-0.3689,-0.2885,-0.3331
1.9200,0.5283,-0.6664,-0.5962,-0.5232,-0.6510,-0.6893,-0.6023,-0.6152,-0.5268,-0.5676
