Time,R,U,Theta,Phi,ThetaDot,PhiDot,Total Angle,Error,Digital Control
0.1025,0.2,0.485534,0.053695,-0.0346055,0.421388,0.154154,0.0190896,0.181198,0.465319
0.103,0.2,0.484842,0.0539052,-0.0345254,0.420091,0.160155,0.0193798,0.18091,0.465319
0.1035,0.2,0.484143,0.0541147,-0.0344423,0.418825,0.166115,0.0196724,0.18062,0.463105
0.104,0.2,0.483439,0.0543237,-0.0343563,0.417589,0.172033,0.0199673,0.180328,0.463105
0.1045,0.2,0.482727,0.054532,-0.0342674,0.416384,0.177908,0.0202646,0.180033,0.463105
0.105,0.2,0.48201,0.0547397,-0.0341755,0.415209,0.18374,0.0205642,0.179735,0.460836
0.1055,0.2,0.481286,0.0549468,-0.0340807,0.414065,0.189528,0.0208661,0.179436,0.460836
0.106,0.2,0.480556,0.0551534,-0.0339831,0.412951,0.195273,0.0211704,0.179134,0.460836
0.1065,0.2,0.479819,0.0553595,-0.0338826,0.411868,0.200973,0.0214769,0.17883,0.458514
0.107,0.2,0.479076,0.055565,-0.0337793,0.410816,0.206629,0.0217857,0.178523,0.458514
0.1075,0.2,0.478327,0.0557701,-0.0336732,0.409794,0.212239,0.0220969,0.178214,0.458514
0.108,0.2,0.477572,0.0559746,-0.0335643,0.408803,0.217803,0.0224103,0.177903,0.456139
0.1085,0.2,0.47681,0.0561786,-0.0334526,0.407842,0.223322,0.022726,0.17759,0.456139
0.109,0.2,0.476042,0.0563822,-0.0333382,0.406912,0.228794,0.023044,0.177274,0.456139
0.1095,0.2,0.475268,0.0565853,-0.0332211,0.406013,0.234219,0.0233642,0.176956,0.453711
0.11,0.2,0.474488,0.056788,-0.0331013,0.405144,0.239598,0.0236867,0.176636,0.453711
0.1105,0.2,0.473702,0.0569903,-0.0329788,0.404305,0.244928,0.0240115,0.176313,0.453711
0.111,0.2,0.47291,0.0571922,-0.0328537,0.403497,0.250211,0.0243384,0.175989,0.451231
0.1115,0.2,0.472111,0.0573936,-0.032726,0.402719,0.255446,0.0246676,0.175662,0.451231
0.112,0.2,0.471306,0.0575947,-0.0325957,0.401971,0.260632,0.0249991,0.175332,0.451231
0.1125,0.2,0.470496,0.0577955,-0.0324628,0.401253,0.26577,0.0253327,0.175001,0.448699
0.113,0.2,0.469679,0.0579959,-0.0323274,0.400566,0.270858,0.0256685,0.174667,0.448699
0.1135,0.2,0.468856,0.058196,-0.0321894,0.399908,0.275897,0.0260065,0.174331,0.448699
0.114,0.2,0.468028,0.0583957,-0.032049,0.399281,0.280886,0.0263467,0.173993,0.446116
0.1145,0.2,0.467193,0.0585952,-0.0319061,0.398683,0.285826,0.0266891,0.173653,0.446116
0.115,0.2,0.466352,0.0587944,-0.0317607,0.398115,0.290715,0.0270336,0.173311,0.446116
0.1155,0.2,0.465506,0.0589933,-0.0316129,0.397576,0.295553,0.0273803,0.172966,0.443483
0.116,0.2,0.464653,0.0591919,-0.0314628,0.397067,0.300341,0.0277292,0.17262,0.443483
0.1165,0.2,0.463795,0.0593903,-0.0313102,0.396588,0.305078,0.0280801,0.172271,0.443483
0.117,0.2,0.462931,0.0595885,-0.0311553,0.396137,0.309763,0.0284332,0.17192,0.4408
0.1175,0.2,0.462061,0.0597865,-0.0309981,0.395716,0.314398,0.0287883,0.171567,0.4408
0.118,0.2,0.461186,0.0599843,-0.0308387,0.395324,0.31898,0.0291456,0.171212,0.4408
0.1185,0.2,0.460305,0.0601819,-0.0306769,0.394961,0.323511,0.029505,0.170854,0.438069
0.119,0.2,0.459417,0.0603793,-0.0305129,0.394626,0.327989,0.0298664,0.170495,0.438069
0.1195,0.2,0.458525,0.0605766,-0.0303467,0.39432,0.332416,0.0302299,0.170134,0.438069
0.12,0.2,0.457626,0.0607737,-0.0301783,0.394042,0.33679,0.0305954,0.16977,0.435289
0.1205,0.2,0.456722,0.0609707,-0.0300077,0.393793,0.341111,0.030963,0.169405,0.435289
0.121,0.2,0.455813,0.0611676,-0.0298351,0.393571,0.34538,0.0313326,0.169037,0.435289
0.1215,0.2,0.454898,0.0613644,-0.0296603,0.393378,0.349596,0.0317042,0.168667,0.432462
0.122,0.2,0.453977,0.0615612,-0.0294834,0.393212,0.353758,0.0320778,0.168296,0.432462
0.1225,0.2,0.453051,0.0617578,-0.0293044,0.393074,0.357868,0.0324534,0.167922,0.432462
0.123,0.2,0.45212,0.0619544,-0.0291235,0.392964,0.361924,0.0328309,0.167547,0.429588
0.1235,0.2,0.451183,0.062151,-0.0289405,0.39288,0.365927,0.0332104,0.167169,0.429588
0.124,0.2,0.45024,0.0623475,-0.0287556,0.392824,0.369876,0.0335919,0.16679,0.429588
0.1245,0.2,0.449293,0.062544,-0.0285687,0.392794,0.373771,0.0339753,0.166408,0.42667
0.125,0.2,0.44834,0.0627405,-0.0283799,0.392792,0.377613,0.0343606,0.166025,0.42667
0.1255,0.2,0.447381,0.062937,-0.0281892,0.392815,0.381401,0.0347479,0.165639,0.42667
0.126,0.2,0.446418,0.0631336,-0.0279966,0.392865,0.385135,0.035137,0.165252,0.423706
0.1265,0.2,0.445449,0.0633302,-0.0278022,0.392941,0.388815,0.035528,0.164863,0.423706
0.127,0.2,0.444475,0.0635268,-0.027606,0.393043,0.392441,0.0359208,0.164472,0.423706
0.1275,0.2,0.443496,0.0637235,-0.027408,0.393171,0.396013,0.0363155,0.164079,0.420699
0.128,0.2,0.442512,0.0639203,-0.0272082,0.393324,0.39953,0.0367121,0.163684,0.420699
0.1285,0.2,0.441523,0.0641172,-0.0270067,0.393502,0.402993,0.0371105,0.163288,0.420699
