time,input,GL,EXP20
31.25,0,0.0153554,0.0115192
31.3,0,0.0153149,0.0114642
31.35,0,0.0152752,0.0114097
31.4,0,0.0152364,0.0113556
31.45,1,0.832454,0.828558
31.5,1,0.849115,0.845203
31.55,1,0.854365,0.855104
31.6,1,0.859246,0.862818
31.65,1,0.863386,0.869091
31.7,1,0.866934,0.874374
31.75,1,0.870042,0.878934
31.8,1,0.872811,0.882945
31.85,1,0.87531,0.886521
31.9,1,0.877586,0.889743
31.95,1,0.879671,0.892672
32,1,0.881593,0.895353
32.05,1,0.883374,0.897823
32.1,1,0.88503,0.90011
32.15,1,0.886577,0.902237
32.2,1,0.888027,0.904223
32.25,1,0.88939,0.906084
32.3,1,0.890677,0.907834
32.35,1,0.891893,0.909484
32.4,1,0.893046,0.911044
32.45,1,0.894142,0.912521
32.5,1,0.895184,0.913924
32.55,1,0.896179,0.915258
32.6,1,0.897129,0.91653
32.65,1,0.898038,0.917744
32.7,1,0.898909,0.918905
32.75,1,0.899745,0.920016
32.8,1,0.900547,0.921081
32.85,1,0.901319,0.922104
32.9,1,0.902063,0.923086
32.95,1,0.90278,0.924032
33,1,0.903471,0.924942
33.05,1,0.904139,0.92582
33.1,1,0.904785,0.926667
33.15,1,0.90541,0.927485
33.2,1,0.906015,0.928275
33.25,1,0.906602,0.92904
33.3,1,0.907171,0.92978
33.35,1,0.907723,0.930497
33.4,1,0.90826,0.931192
33.45,1,0.908782,0.931867
33.5,1,0.909289,0.932521
33.55,1,0.909783,0.933157
33.6,1,0.910264,0.933775
33.65,1,0.910732,0.934375
33.7,1,0.911189,0.93496
33.75,1,0.911635,0.935528
33.8,1,0.912069,0.936082
33.85,1,0.912494,0.936622
33.9,1,0.912909,0.937148
33.95,1,0.913314,0.93766
34,1,0.913711,0.938161
34.05,1,0.914098,0.938649
34.1,1,0.914478,0.939125
34.15,1,0.914849,0.939591
34.2,1,0.915213,0.940045
34.25,1,0.915569,0.94049
34.3,1,0.915919,0.940924
34.35,1,0.916261,0.941349
34.4,1,0.916597,0.941765
34.45,1,0.916926,0.942172
34.5,1,0.91725,0.94257
34.55,1,0.917567,0.94296
34.6,1,0.917879,0.943342
34.65,1,0.918185,0.943717
34.7,1,0.918486,0.944083
34.75,1,0.918782,0.944443
34.8,1,0.919073,0.944796
34.85,1,0.919359,0.945142
34.9,1,0.919641,0.945481
34.95,1,0.919918,0.945814
35,1,0.92019,0.946141
35.05,1,0.920459,0.946461
35.1,1,0.920723,0.946776
35.15,1,0.920983,0.947086
35.2,1,0.92124,0.94739
35.25,1,0.921493,0.947688
35.3,1,0.921742,0.947982
35.35,1,0.921987,0.94827
35.4,1,0.92223,0.948554
35.45,1,0.922469,0.948833
35.5,1,0.922704,0.949107
35.55,1,0.922937,0.949377
35.6,1,0.923167,0.949643
35.65,1,0.923393,0.949904
35.7,1,0.923617,0.950161
35.75,1,0.923838,0.950414
35.8,1,0.924056,0.950663
35.85,1,0.924272,0.950908
35.9,1,0.924485,0.95115
35.95,1,0.924696,0.951388
36,1,0.924904,0.951622
36.05,1,0.925109,0.951853
36.1,1,0.925313,0.952081
36.15,1,0.925514,0.952305
36.2,1,0.925713,0.952526
36.25,1,0.92591,0.952744
36.3,1,0.926104,0.952959
36.35,1,0.926297,0.953171
36.4,1,0.926488,0.95338
36.45,1,0.926676,0.953586
36.5,1,0.926863,0.95379
36.55,1,0.927048,0.95399
36.6,1,0.927231,0.954188
36.65,1,0.927413,0.954383
36.7,1,0.927592,0.954576
36.75,1,0.92777,0.954766
36.8,1,0.927946,0.954954
36.85,1,0.928121,0.95514
36.9,1,0.928294,0.955323
36.95,1,0.928466,0.955503
37,1,0.928636,0.955682
37.05,1,0.928804,0.955858
37.1,1,0.928971,0.956032
37.15,1,0.929137,0.956204
37.2,1,0.929301,0.956374
37.25,1,0.929464,0.956542
37.3,1,0.929626,0.956708
37.35,1,0.929786,0.956872
37.4,1,0.929945,0.957034
37.45,1,0.930103,0.957194
37.5,1,0.93026,0.957353
37.55,1,0.930415,0.957509
37.6,1,0.930569,0.957664
37.65,1,0.930723,0.957817
37.7,1,0.930875,0.957968
37.75,1,0.931025,0.958118
37.8,1,0.931175,0.958266
37.85,1,0.931324,0.958412
37.9,1,0.931472,0.958557
37.95,1,0.931618,0.9587
38,1,0.931764,0.958842
38.05,1,0.931909,0.958982
38.1,1,0.932053,0.959121
38.15,1,0.932196,0.959258
38.2,1,0.932338,0.959394
38.25,1,0.932479,0.959528
38.3,1,0.932619,0.959661
38.35,1,0.932758,0.959793
38.4,1,0.932897,0.959923
38.45,1,0.933034,0.960053
38.5,1,0.933171,0.96018
38.55,1,0.933307,0.960307
38.6,1,0.933442,0.960432
38.65,1,0.933577,0.960556
38.7,1,0.93371,0.960679
38.75,1,0.933843,0.960801
38.8,1,0.933976,0.960921
38.85,1,0.934107,0.961041
38.9,1,0.934238,0.961159
38.95,1,0.934368,0.961276
39,1,0.934497,0.961392
39.05,1,0.934626,0.961507
39.1,1,0.934754,0.961621
39.15,1,0.934882,0.961734
39.2,1,0.935009,0.961846
39.25,1,0.935135,0.961957
39.3,1,0.935261,0.962066
39.35,1,0.935386,0.962175
39.4,1,0.93551,0.962283
39.45,1,0.935634,0.96239
39.5,1,0.935757,0.962496
39.55,1,0.93588,0.962601
39.6,1,0.936002,0.962705
39.65,1,0.936124,0.962809
39.7,1,0.936245,0.962911
39.75,1,0.936366,0.963013
39.8,1,0.936486,0.963113
39.85,1,0.936605,0.963213
39.9,1,0.936724,0.963312
39.95,1,0.936843,0.96341
40,1,0.936961,0.963508
40.05,1,0.937079,0.963604
40.1,1,0.937196,0.9637
40.15,1,0.937313,0.963795
40.2,1,0.937429,0.963889
40.25,1,0.937545,0.963983
40.3,1,0.937661,0.964076
40.35,1,0.937776,0.964168
40.4,1,0.937891,0.964259
40.45,1,0.938005,0.964349
40.5,1,0.938119,0.964439
40.55,1,0.938232,0.964529
40.6,1,0.938345,0.964617
40.65,1,0.938458,0.964705
40.7,1,0.93857,0.964792
40.75,1,0.938682,0.964878
40.8,1,0.938794,0.964964
40.85,1,0.938905,0.965049
40.9,1,0.939016,0.965134
40.95,1,0.939127,0.965218
41,1,0.939237,0.965301
41.05,1,0.939347,0.965384
41.1,1,0.939456,0.965466
41.15,1,0.939566,0.965548
41.2,1,0.939675,0.965628
41.25,1,0.939783,0.965709
41.3,1,0.939892,0.965789
41.35,1,0.94,0.965868
41.4,1,0.940107,0.965946
41.45,1,0.940215,0.966024
41.5,1,0.940322,0.966102
41.55,1,0.940429,0.966179
41.6,1,0.940536,0.966256
41.65,1,0.940642,0.966331
41.7,1,0.940748,0.966407
41.75,1,0.940854,0.966482
41.8,1,0.94096,0.966556
41.85,1,0.941065,0.96663
41.9,0,0.123914,0.149448
41.95,0,0.107321,0.132823
42,0,0.102139,0.122941
42.05,0,0.0973277,0.115247
42.1,0,0.0932571,0.108994
42.15,0,0.0897792,0.103731
42.2,0,0.0867426,0.0991901
42.25,0,0.0840443,0.0951993
42.3,0,0.081617,0.0916434
42.35,0,0.0794141,0.0884409
42.4,0,0.0774017,0.0855318
42.45,0,0.0755532,0.0828701
42.5,0,0.073847,0.0804201
42.55,0,0.0722656,0.0781531
42.6,0,0.0707939,0.0760459
42.65,0,0.0694197,0.0740794
42.7,0,0.0681324,0.0722377
42.75,0,0.0669231,0.0705075
42.8,0,0.0657841,0.0688773
42.85,0,0.0647089,0.0673375
42.9,0,0.0636919,0.0658797
42.95,0,0.062728,0.0644965
43,0,0.0618129,0.0631817
43.05,0,0.0609428,0.0619296
43.1,0,0.0601144,0.0607352
43.15,0,0.0593245,0.0595943
43.2,0,0.0585704,0.0585027
43.25,0,0.0578496,0.057457
43.3,0,0.05716,0.056454
43.35,0,0.0564995,0.0554909
43.4,0,0.0558663,0.0545651
43.45,0,0.0552587,0.0536742
43.5,0,0.0546751,0.052816
43.55,0,0.0541142,0.0519886
43.6,0,0.0535746,0.0511902
43.65,0,0.0530552,0.0504192
43.7,0,0.0525549,0.049674
43.75,0,0.0520726,0.0489532
43.8,0,0.0516075,0.0482555
43.85,0,0.0511586,0.0475798
43.9,0,0.0507252,0.0469249
43.95,0,0.0503065,0.0462897
44,0,0.0499018,0.0456734
44.05,0,0.0495105,0.0450751
44.1,0,0.0491319,0.0444938
44.15,0,0.0487656,0.0439289
44.2,0,0.0484108,0.0433795
44.25,0,0.0480673,0.042845
44.3,0,0.0477344,0.0423248
44.35,0,0.0474118,0.0418183
44.4,0,0.047099,0.0413248
44.45,0,0.0467957,0.0408439
44.5,0,0.0465014,0.040375
44.55,0,0.0462159,0.0399177
44.6,0,0.0459388,0.0394715
44.65,0,0.0456697,0.039036
44.7,0,0.0454085,0.0386107
44.75,0,0.0451547,0.0381954
44.8,0,0.0449082,0.0377896
44.85,0,0.0446687,0.037393
44.9,0,0.044436,0.0370053
44.95,0,0.0442097,0.0366261
45,0,0.0439898,0.0362552
45.05,0,0.043776,0.0358923
45.1,0,0.043568,0.035537
45.15,0,0.0433658,0.0351893
45.2,0,0.043169,0.0348487
45.25,0,0.0429777,0.0345151
45.3,0,0.0427915,0.0341883
45.35,0,0.0426103,0.033868
45.4,0,0.042434,0.0335541
45.45,0,0.0422625,0.0332463
45.5,0,0.0420955,0.0329445
45.55,0,0.041933,0.0326484
45.6,0,0.0417749,0.0323579
45.65,0,0.0416209,0.0320729
45.7,0,0.0414711,0.0317932
45.75,0,0.0413252,0.0315186
45.8,0,0.0411832,0.031249
45.85,0,0.0410449,0.0309842
45.9,0,0.0409104,0.0307242
45.95,0,0.0407794,0.0304687
46,0,0.0406519,0.0302177
46.05,0,0.0405278,0.0299711
46.1,0,0.0404069,0.0297287
